theta,A2,b,a,z,status
56,-10,8.7,5.8,-0.6,NotYet
56,-10,8.8,5.7,-0.4,NotYet
56,-10,8.8,5.6,-0.2,NotYet
56,-10,8.9,5.5,0.0,NotYet
56,-10,8.9,5.5,0.2,NotYet
56,-10,8.7,5.6,0.4,NotYet
56,-10,8.6,5.7,0.6,NotYet
56,-10,8.4,5.9,0.8,NotYet
56,-8,8.5,5.8,-1.0,NotYet
56,-8,8.5,5.8,-0.8,NotYet
56,-8,8.6,5.7,-0.6,NotYet
56,-8,8.7,5.6,-0.4,NotYet
56,-8,8.7,5.6,-0.2,NotYet
56,-8,8.7,5.5,0.0,NotYet
56,-8,8.7,5.5,0.2,NotYet
56,-8,8.5,5.7,0.4,NotYet
56,-8,8.4,5.8,0.6,NotYet
56,-8,8.3,5.9,0.8,NotYet
56,-6,8.4,5.8,-1.0,NotYet
56,-6,8.5,5.7,-0.8,NotYet
56,-6,8.5,5.7,-0.6,NotYet
56,-6,8.6,5.6,-0.4,NotYet
56,-6,8.7,5.5,-0.2,NotYet
56,-6,8.6,5.5,0.0,NotYet
56,-6,8.5,5.6,0.2,NotYet
56,-6,8.4,5.8,0.4,NotYet
56,-6,8.3,5.9,0.6,NotYet
56,-6,8.2,6.0,0.8,NotYet
56,-4,8.4,5.8,-1.0,NotYet
56,-4,8.5,5.7,-0.8,NotYet
56,-4,8.5,5.7,-0.6,NotYet
56,-4,8.5,5.6,-0.4,NotYet
56,-4,8.6,5.5,-0.2,NotYet
56,-4,8.5,5.6,0.0,NotYet
56,-4,8.4,5.7,0.2,NotYet
56,-4,8.3,5.8,0.4,NotYet
56,-4,8.2,5.9,0.6,NotYet
56,-4,8.2,6.0,0.8,NotYet
56,-2,8.4,5.7,-1.0,NotYet
56,-2,8.4,5.7,-0.8,NotYet
56,-2,8.5,5.6,-0.6,NotYet
56,-2,8.5,5.6,-0.4,NotYet
56,-2,8.6,5.5,-0.2,NotYet
56,-2,8.5,5.6,0.0,NotYet
56,-2,8.4,5.7,0.2,NotYet
56,-2,8.2,5.9,0.4,NotYet
56,-2,8.2,6.0,0.6,NotYet
56,-2,8.2,6.0,0.8,NotYet
56,0,8.5,5.7,-1.0,NotYet
56,0,8.5,5.7,-0.8,NotYet
56,0,8.5,5.6,-0.6,NotYet
56,0,8.6,5.5,-0.4,NotYet
56,0,8.6,5.5,-0.2,NotYet
56,0,8.5,5.6,0.0,NotYet
56,0,8.4,5.8,0.2,NotYet
56,0,8.3,5.9,0.4,NotYet
56,0,8.2,6.0,0.6,NotYet
56,0,8.2,6.0,0.8,NotYet
56,2,8.6,5.6,-1.0,NotYet
56,2,8.6,5.6,-0.8,NotYet
56,2,8.7,5.5,-0.6,NotYet
56,2,8.7,5.5,-0.4,NotYet
56,2,8.6,5.6,-0.2,NotYet
56,2,8.5,5.7,0.0,NotYet
56,2,8.4,5.9,0.2,NotYet
56,2,8.3,6.0,0.4,NotYet
56,2,8.3,6.0,0.6,NotYet
56,2,8.3,6.0,0.8,NotYet
56,4,8.7,5.6,-1.0,NotYet
56,4,8.8,5.5,-0.8,NotYet
56,4,8.8,5.5,-0.6,NotYet
56,4,8.8,5.5,-0.4,NotYet
56,4,8.7,5.6,-0.2,NotYet
56,4,8.5,5.8,0.0,NotYet
56,4,8.5,5.9,0.2,NotYet
56,4,8.4,6.0,0.4,NotYet
56,4,8.4,6.0,0.6,NotYet
56,4,8.4,6.0,0.8,NotYet
56,6,9.0,5.5,-1.0,NotYet
56,6,9.0,5.5,-0.8,NotYet
56,6,9.0,5.4,-0.6,NotYet
56,6,9.0,5.5,-0.4,NotYet
